Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Australia,Oceania,2000,5.1,6.2,77.0385,10.17,95,85,26.2,90,90,0.04,45559,19.15,0.7,0.7,11.9,1,0,79.2
Australia,Oceania,2001,5,6.1,73.7145,9.53,94,85,26.3,91,92,0.04,45865,19.41,0.7,0.7,11.9,1,0,79.6
Australia,Oceania,2002,5,6,71.935,9.84,95,85,26.4,92,92,0.04,47127,19.65,0.7,0.7,11.8,1,0,79.9
Australia,Oceania,2003,4.9,5.9,69.879,9.97,95,86,26.5,92,93,0.05,47997,19.9,0.7,0.7,11.8,1,0,80.2
Australia,Oceania,2004,4.8,5.8,67.92,9.84,95,85,26.6,92,92,0.05,49439,20.13,0.7,0.6,11.8,1,0,80.5
Australia,Oceania,2005,4.8,5.7,66.521,10.3,95,85,26.7,92,92,0.05,50333,20.39,0.7,0.6,11.7,1,0,80.8
Australia,Oceania,2006,4.7,5.6,65.59,10.31,95,87,26.7,92,92,0.05,50948,20.7,0.7,0.6,11.9,1,0,81
Australia,Oceania,2007,4.5,5.4,66.424,10.56,94,89,26.8,92,92,0.05,52539,20.83,0.7,0.6,12,1,0,81.3
Australia,Oceania,2008,4.4,5.2,64.318,10.76,94,80,26.8,92,92,0.05,53339,21.25,0.7,0.6,12.3,1,0,81.4
Australia,Oceania,2009,4.2,5,64.839,10.62,94,82,26.9,92,92,0.05,53226,21.69,0.7,0.6,12.3,1,0,81.5
Australia,Oceania,2010,4,4.8,62.169,10.52,92,88,26.9,92,92,0.05,53543,22.03,0.7,0.6,12.4,1,0,81.7
Austria,European Union,2000,4.6,5.5,94.882,13.35,33,35,25,71,81,0.08,38843,08.01,1.7,1.9,9,1,0,78.1
Austria,European Union,2001,4.5,5.4,91.5155,12.35,44,34,25,83,84,0.08,39185,08.04,1.7,1.9,9.2,1,0,78.6
Austria,European Union,2002,4.4,5.3,89.4275,12.09,81,39,25.1,82,83,0.08,39636,08.08,1.7,1.9,9.4,1,0,78.7
Austria,European Union,2003,4.3,5.2,87.6535,12.31,83,46,25.1,84,84,0.08,39815,8.12,1.7,1.9,9.6,1,0,78.6
Austria,European Union,2004,4.2,5.1,84.8235,12.17,83,47,25.2,83,83,0.08,40651,8.17,1.7,1.9,9.8,1,0,79.2
Austria,European Union,2005,4.1,4.9,83.48,12.14,86,54,25.2,86,86,0.08,41281,8.23,1.7,1.9,9.9,1,0,79.3
Austria,European Union,2006,3.9,4.7,78.393,12.58,83,61,25.3,83,83,0.08,42496,8.27,1.7,1.9,10.1,1,0,79.9
Austria,European Union,2007,3.8,4.6,78.0555,12.54,85,56,25.3,85,85,0.08,43938,8.3,1.7,1.9,11.6,1,0,80.2
Austria,European Union,2008,3.8,4.5,74.9395,12.03,83,62,25.3,83,83,0.08,44440,8.32,1.7,1.9,11.5,1,0,80.4
Austria,European Union,2009,3.7,4.5,76.57,11.87,83,64,25.4,83,83,0.08,42655,8.34,1.7,1.9,11.7,1,0,80.3
Austria,European Union,2010,3.6,4.3,74.502,12.1,86,69,25.4,86,86,0.08,43335,8.36,1.7,1.9,11.8,1,0,80.6
Belgium,European Union,2000,4.8,5.8,99.6,11.21,60,78,25.5,96,95,0.08,35675,10.25,0.8,0.8,10,1,0,77.7
Belgium,European Union,2001,4.6,5.6,97.8795,11.01,60,78,25.5,96,95,0.08,35943,10.29,0.8,0.8,10.2,1,0,78
Belgium,European Union,2002,4.4,5.4,95.81,11.29,60,78,25.6,96,95,0.08,36393,10.33,0.8,0.8,10.3,1,0,78.1
Belgium,European Union,2003,4.3,5.2,93.89,11.28,64,78,25.6,96,95,0.08,36617,10.38,0.8,0.8,10.4,1,0,78.1
Belgium,European Union,2004,4.2,5.1,89.671,12.05,64,78,25.7,96,95,0.08,37761,10.42,0.8,0.8,10.5,1,0,78.9
Belgium,European Union,2005,4,4.9,88.2405,12.21,77,79,25.7,97,97,0.08,38426,10.48,0.8,0.8,10.7,1,0,79
Belgium,European Union,2006,4,4.8,86.023,10.94,94,78,25.8,99,98,0.08,39148,10.55,0.8,0.8,11.1,1,0,79.4
Belgium,European Union,2007,3.9,4.7,86.1695,13.43,94,78,25.8,99,98,0.08,40290,10.63,0.8,0.8,11.1,1,0,79.8
Belgium,European Union,2008,3.8,4.6,86.6285,10.51,98,81,25.9,99,99,0.08,40152,10.71,0.8,0.8,11,1,0,79.7
Belgium,European Union,2009,3.7,4.5,84.168,10.1,97,83,25.9,98,98,0.08,39025,10.8,0.9,0.9,11.1,1,0,80
Belgium,European Union,2010,3.6,4.4,80.8845,10.27,97,83,25.9,98,98,0.08,39778,10.9,0.9,0.9,11.1,1,0,80.2
Bulgaria,European Union,2000,14.4,17.5,161.911,10.26,94,83,25.3,94,93,0.02,3718,8.17,2.5,2.5,9.5,1,0,71.7
Bulgaria,European Union,2001,13.8,16.7,158.938,11.07,93,85,25.3,94,94,0.02,3937,08.01,2.4,2.5,9.9,1,0,71.8
Bulgaria,European Union,2002,13.2,15.9,156.0455,10.8,88,79,25.4,94,93,0.02,4260,7.84,2.4,2.4,10,1,0,71.9
Bulgaria,European Union,2003,12.5,15.1,153.633,10.92,96,89,25.5,96,96,0.02,4519,7.78,2.3,2.4,10.1,1,0,72.1
Bulgaria,European Union,2004,11.8,14.2,154.1315,10.7,94,91,25.5,94,95,0.02,4850,7.72,2.3,2.3,10.1,1,0,72.6
Bulgaria,European Union,2005,11,13.3,155.837,10.22,96,92,25.6,97,96,0.02,5231,7.66,2.2,2.3,10.2,1,0,72.6
Bulgaria,European Union,2006,10.3,12.4,156.0375,10.18,96,93,25.7,96,95,0.02,5629,7.6,2.2,2.2,10.4,1,0,72.6
Bulgaria,European Union,2007,9.9,11.8,151.67,10.66,95,94,25.8,95,95,0.02,6045,7.55,2.1,2.2,10.5,1,0,72.7
Bulgaria,European Union,2008,9.5,11.4,148.4445,10.73,96,94,25.8,96,95,0.03,6460,7.49,2.1,2.1,10.5,1,0,73
Bulgaria,European Union,2009,9.3,11.1,145.527,10.53,96,93,25.9,94,94,0.03,6289,7.44,2,2.1,10.6,1,0,73.4
Bulgaria,European Union,2010,9,10.8,142.4175,9.82,95,96,26,94,94,0.03,6428,7.4,2,2,10.6,1,0,73.5
Croatia,European Union,2000,7.2,8.3,122.7795,13.24,96,98,25.6,94,93,0.01,8806,4.47,2.1,2.1,9.4,1,0,72.8
Croatia,European Union,2001,6.9,8,121.781,13.69,96,98,25.7,94,94,0.01,9428,4.3,2,2,9.8,1,0,74.5
Croatia,European Union,2002,6.6,7.7,120.782,13.88,96,98,25.8,95,95,0.02,9962,4.3,2,2,9.8,1,0,74.7
Croatia,European Union,2003,6.3,7.3,117.911,12.99,96,98,25.9,95,94,0.02,10510,4.3,1.9,1.9,9.8,1,0,74.6
Croatia,European Union,2004,6.1,7,115.04,12.42,96,98,26,96,96,0.02,10943,4.3,1.9,1.9,9.7,1,0,75.5
Croatia,European Union,2005,5.8,6.7,112.169,10.72,96,98,26.1,96,96,0.02,11400,4.31,1.8,1.8,9.7,1,0,75.2
Croatia,European Union,2006,5.5,6.4,109.298,10.98,96,98,26.2,96,96,0.02,11960,4.31,1.8,1.8,9.9,1,0,75.8
Croatia,European Union,2007,5.3,6.2,106.427,11.36,95,98,26.3,96,96,0.02,12550,4.31,1.8,1.7,10.1,1,0,75.7
Croatia,European Union,2008,5.1,5.9,104.768,11.36,97,98,26.4,96,96,0.02,12790,4.31,1.7,1.7,10.3,1,0,75.9
Croatia,European Union,2009,4.9,5.7,103.109,11.11,97,98,26.6,96,96,0.02,11871,4.31,1.7,1.6,10.6,1,0,76.2
Croatia,European Union,2010,4.7,5.5,101.45,10.71,97,98,26.7,97,97,0.02,11749,4.3,1.6,1.6,10.8,1,0,76.5
Cyprus,European Union,2000,5.6,6.5,69.0645,9.56,89,91,26.3,97,97,0.03,22382,0.94,0.9,1,9.1,1,0,78
Cyprus,European Union,2001,5.2,5.1,67.9315,10.16,89,91,26.3,97,97,0.03,23018,0.96,0.9,1,10.1,1,0,78.1
Cyprus,European Union,2002,4.8,5.6,66.799,11.68,88,91,26.4,98,98,0.03,23603,0.98,0.9,1,10.2,1,0,78.3
Cyprus,European Union,2003,4.5,5.2,65.7605,10.62,88,91,26.5,98,98,0.03,23929,0.99,0.9,1,10.4,1,0,78.4
Cyprus,European Union,2004,4.1,4.8,64.721,13.03,88,91,26.5,98,98,0.04,24798,1.01,0.9,1,10.5,1,0,78.5
Cyprus,European Union,2005,3.8,4.5,63.682,11.41,88,91,26.6,98,98,0.04,25630,1.03,0.9,1,10.7,1,0,78.6
Cyprus,European Union,2006,3.6,4.2,62.643,11.48,93,90,26.6,97,97,0.04,26394,1.05,0.9,1,10.9,1,0,78.8
Cyprus,European Union,2007,3.3,3.9,61.604,11.58,93,93,26.7,97,97,0.05,27155,1.06,0.9,1,11.2,1,0,78.9
Cyprus,European Union,2008,3.1,3.7,60.207,12.03,93,89,26.7,97,97,0.05,27447,1.08,0.9,1,11.3,1,0,79.1
Cyprus,European Union,2009,2.1,3.5,58.8095,10.81,96,88,26.7,99,99,0.05,26182,1.1,0.9,1,11.3,1,0,79.2
Cyprus,European Union,2010,2.8,3.4,57.4125,11.33,96,88,26.7,99,99,0.06,26020,1.11,0.9,1,11.5,1,0,79.4
Czechia,European Union,2000,4.5,5.5,124.38,13.9,92,98,26.5,98,98,0.08,12312,10.26,2.3,2.3,10.6,1,0,75
Czechia,European Union,2001,4.3,5.2,121.6575,13.64,92,98,26.5,97,98,0.08,12735,10.22,2.2,2.3,10.9,1,0,75.2
Czechia,European Union,2002,4.1,5,118.748,13.77,86,98,26.5,97,98,0.08,12960,10.2,2.2,2.3,11.1,1,0,75.2
Czechia,European Union,2003,3.9,4.8,120.2325,13.87,92,98,26.6,97,97,0.08,13428,10.19,2.2,2.2,11.4,1,0,75.2
Czechia,European Union,2004,3.7,4.6,114.2985,13.42,98,98,26.6,96,98,0.08,14070,10.2,2.1,2.2,11.6,1,0,75.7
Czechia,European Union,2005,3.6,4.4,112.1435,13.66,99,98,26.6,96,97,0.08,14978,10.21,2.1,2.1,11.9,1,0,75.9
Czechia,European Union,2006,3.4,4.1,106.5445,13.58,98,98,26.7,98,98,0.08,15949,10.24,2,2.1,12.1,1,0,76.5
Czechia,European Union,2007,3.2,3.9,105.2965,13.83,99,98,26.7,99,99,0.08,16739,10.3,2,2.1,12.2,1,0,76.7
Czechia,European Union,2008,3,3.7,104.5205,13.65,99,98,26.7,99,99,0.08,17047,10.38,1.9,2,12.2,1,0,77
Czechia,European Union,2009,2.9,3.5,100.7625,13.43,99,98,26.8,99,99,0.08,16161,10.44,1.9,2,12.3,1,0,77.1
Czechia,European Union,2010,2.7,3.4,97.8545,12.68,99,98,26.8,99,99,0.08,16506,10.47,1.9,2,12.4,1,0,77.4
Denmark,European Union,2000,4.7,5.7,102.388,11.68,88,89,24.9,97,97,0.04,49242,5.34,1.3,1,10.7,1,0,76.6
Denmark,European Union,2001,4.7,5.6,101.2215,11.54,88,87,25,97,97,0.04,49470,5.36,1.3,1,11.4,1,0,76.8
Denmark,European Union,2002,4.6,5.5,99.934,11.32,88,92,25,98,98,0.04,49542,5.38,1.2,1,12.1,1,0,76.9
Denmark,European Union,2003,4.5,5.4,97.2905,11.53,88,88,25.1,96,96,0.04,49600,5.39,1.2,1,12.8,1,0,77.1
Denmark,European Union,2004,4.3,5.2,95.0035,11.26,88,88,25.1,95,95,0.04,50792,5.4,1.2,1,12.8,1,0,77.5
Denmark,European Union,2005,4.2,5,90.2045,11.26,88,91,25.1,93,93,0.04,51836,5.42,1.2,1,12.8,1,0,77.8
Denmark,European Union,2006,4,4.8,92.1215,11.02,88,91,25.2,93,93,0.04,53687,5.44,1.2,0.9,12.8,1,0,78.1
Denmark,European Union,2007,3.8,4.5,92.724,10.99,88,88,25.2,87,87,0.04,53936,5.46,1.2,0.9,12.5,1,0,78.2
Denmark,European Union,2008,3.7,4.4,87.314,10.7,88,87,25.2,88,88,0.04,53345,5.49,1.1,0.9,12.9,1,0,78.4
Denmark,European Union,2009,3.6,4.2,85.8135,10.08,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0,78.6
Denmark,European Union,2010,3.5,4.1,83.927,10.27,88,85,25.3,90,90,0.04,51173,5.55,1.1,0.9,12.7,1,0,79.1
Germany,European Union,2000,4.4,5.4,94.405,12.91,84,81,25.8,94,90,0.08,34490,82.21,1.2,1.2,11.2,1,0,77.9
Germany,European Union,2001,4.3,5.2,91.975,12.46,86,83,25.8,96,93,0.08,35011,82.35,1.2,1.1,11.7,1,0,78.3
Germany,European Union,2002,4.2,5.1,91.2495,12.25,87,77,25.9,97,93,0.08,34883,82.49,1.2,1.1,12.1,1,0,78.2
Germany,European Union,2003,4.1,5,90.053,11.92,90,83,26,96,97,0.08,34620,82.53,1.1,1.1,12.5,1,0,78.4
Germany,European Union,2004,4,4.9,86.3185,11.83,88,89,26,96,96,0.08,35034,82.52,1.1,1.1,12.9,1,0,78.7
Germany,European Union,2005,3.9,4.7,84.758,11.68,90,91,26.1,95,96,0.08,35310,82.47,1.1,1.1,13.3,1,0,78.9
Germany,European Union,2006,3.8,4.6,82.246,11.76,87,90,26.1,94,96,0.08,36699,82.38,1.1,1.1,13.6,1,0,79.1
Germany,European Union,2007,3.7,4.5,80.746,11.51,86,92,26.2,95,96,0.08,37842,82.27,1.1,1.1,13.7,1,0,79.5
Germany,European Union,2008,3.6,4.4,79.5175,11.37,87,92,26.2,95,96,0.08,38278,82.11,1.1,1.1,13.7,1,0,79.7
Germany,European Union,2009,3.5,4.3,78.907,11.23,88,93,26.3,95,96,0.08,36190,81.9,1.1,1.1,13.8,1,0,79.8
Germany,European Union,2010,3.5,4.2,77.604,11.58,88,93,26.3,94,95,0.03,37761,81.78,1.1,1.1,13.8,1,0,80
Hungary,European Union,2000,8.7,10.1,192.969,12.23,88,99,25.9,99,99,0.08,8971,10.21,2.3,2.3,10.2,1,0,71.2
Hungary,European Union,2001,8.2,9.6,185.7405,13.18,88,99,26,99,99,0.08,9357,10.19,2.2,2.2,10.3,1,0,72.2
Hungary,European Union,2002,7.6,9,184.567,13.28,88,99,26.1,98,99,0.08,9829,10.16,2.2,2.2,10.3,1,0,72.3
Hungary,European Union,2003,7.1,8.4,183.917,13.24,88,99,26.2,99,99,0.08,10260,10.13,2.1,2.1,10.5,1,0,72.3
Hungary,European Union,2004,6.7,7.9,180.2155,13.28,88,99,26.2,99,99,0.08,10797,10.11,2.1,2.1,10.6,1,0,72.6
Hungary,European Union,2005,6.4,7.5,181.871,12.95,88,99,26.3,99,99,0.08,11283,10.09,2,2,10.9,1,0,72.6
Hungary,European Union,2006,6.1,7.2,176.8035,13.25,88,99,26.4,99,99,0.08,11747,10.07,2,2,11.1,1,0,73.1
Hungary,European Union,2007,5.8,6.8,176.0225,12.54,88,99,26.5,99,99,0.08,11797,10.06,1.9,1.9,11.3,1,0,73.2
Hungary,European Union,2008,5.5,6.5,166.717,11.75,88,99,26.6,99,99,0.08,11937,10.04,1.9,1.9,11.5,1,0,73.7
Hungary,European Union,2009,5.2,6.2,163.682,11.52,88,99,26.7,99,99,0.08,11167,10.02,1.8,1.8,11.7,1,0,73.9
Hungary,European Union,2010,5.1,6,156.927,10.7,88,99,26.8,99,99,0.08,11314,10,1.8,1.8,11.9,1,0,74.2
Iceland,Rest of Europe,2000,3.2,4.1,78.916,6.14,88,91,25.5,98,98,0.02,42175,0.28,1,0.9,9.4,1,0,79.7
Iceland,Rest of Europe,2001,3.1,3.9,69.582,6.32,88,90,25.6,92,92,0.02,43288,0.28,1,0.9,9.6,1,0,80.7
Iceland,Rest of Europe,2002,2.9,3.7,68.5245,6.53,88,90,25.6,95,95,0.03,43143,0.29,1,0.9,9.7,1,0,80.5
Iceland,Rest of Europe,2003,2.8,3.5,58.787,6.52,88,92,25.7,97,97,0.03,43764,0.29,1,0.9,9.8,1,0,81
Iceland,Rest of Europe,2004,2.7,3.4,61.9875,6.71,88,89,25.7,99,99,0.03,46766,0.29,1,0.9,9.9,1,0,81
Iceland,Rest of Europe,2005,2.6,3.2,58.873,7.05,88,90,25.8,95,95,0.03,48851,0.3,0.9,0.9,10,1,0,81.5
Iceland,Rest of Europe,2006,2.5,3.1,64.745,7.2,88,93,25.9,97,97,0.03,50732,0.3,0.9,0.9,10.2,1,0,81.2
Iceland,Rest of Europe,2007,2.4,3,58.3265,7.53,88,95,25.9,97,97,0.04,53646,0.31,0.9,0.9,10.3,1,0,81.5
Iceland,Rest of Europe,2008,2.3,2.9,51.6075,7.19,88,94,26,98,98,0.04,53821,0.32,0.9,0.9,10.4,1,0,81.6
Iceland,Rest of Europe,2009,2.2,2.8,56.594,7.24,88,93,26,96,96,0.05,49527,0.32,0.9,0.9,10.5,1,0,81.8
Iceland,Rest of Europe,2010,2.2,2.7,53.441,6.79,88,92,26,96,96,0.05,48194,0.32,0.9,0.9,10.6,1,0,81.9
Ireland,European Union,2000,6,7.1,94.6415,13.84,95,86,26.3,86,86,0.04,41623,3.81,0.3,0.3,10.8,1,0,76.5
Ireland,European Union,2001,5.8,6.9,89.055,14.04,95,86,26.4,84,84,0.05,43139,3.87,0.3,0.3,11,1,0,77.1
Ireland,European Union,2002,5.5,6.5,86.879,13.95,95,86,26.5,83,83,0.05,44919,3.93,0.3,0.3,11.2,1,0,77.6
Ireland,European Union,2003,5.1,6,81.688,13.04,95,86,26.6,86,86,0.05,45523,4,0.3,0.2,11.4,1,0,78.1
Ireland,European Union,2004,4.7,5.6,81.2525,13.11,95,86,26.7,89,89,0.06,47731,4.07,0.3,0.2,11.6,1,0,78.5
Ireland,European Union,2005,4.4,5.2,77.6135,13.06,95,86,26.8,90,90,0.06,49382,4.16,0.3,0.2,11.7,1,0,78.9
Ireland,European Union,2006,4.1,4.9,76.8165,13.12,95,86,26.8,91,91,0.06,50462,4.27,0.3,0.2,11.8,1,0,79.2
Ireland,European Union,2007,3.9,4.6,73.766,13.17,95,86,26.9,92,92,0.06,51625,4.4,0.3,0.2,11.9,1,0,79.6
Ireland,European Union,2008,3.8,4.4,73.6315,12.18,95,86,27,93,93,0.07,48314,4.49,0.3,0.2,12,1,0,80.1
Ireland,European Union,2009,3.6,4.3,73.9955,10.93,95,86,27.1,94,94,0.07,45386,4.54,0.3,0.2,12.1,1,0,80.2
Ireland,European Union,2010,3.5,4.2,68.771,11.57,95,86,27.1,94,94,0.07,45932,4.56,0.3,0.2,12.2,1,0,80.7
Italy,European Union,2000,4.7,5.6,76.0095,9.78,94,83,25.4,97,87,0.1,32351,56.94,0.5,0.5,8.6,1,0,79.8
Italy,European Union,2001,4.5,5.3,74.622,9.68,95,84,25.4,96,93,0.1,32964,56.97,0.5,0.5,8.7,1,0,80.1
Italy,European Union,2002,4.3,5,72.478,9.25,95,84,25.5,96,93,0.09,32998,57.06,0.5,0.5,8.8,1,0,80.2
Italy,European Union,2003,4.1,4.8,70.0145,9.3,95,83,25.5,97,96,0.09,32897,57.31,0.5,0.5,8.9,1,0,80
Italy,European Union,2004,3.9,4.6,65.986,8.98,96,84,25.6,97,94,0.09,33150,57.69,0.5,0.5,9.1,1,0,80.8
Italy,European Union,2005,3.8,4.5,64.2915,8.65,96,84,25.6,97,95,0.09,33258,57.97,0.5,0.5,9.2,1,0,80.8
Italy,European Union,2006,3.7,4.3,62.934,8.44,96,83,25.6,97,96,0.09,33752,58.14,0.5,0.5,9.3,1,0,81.3
Italy,European Union,2007,3.6,4.2,61.3625,8.37,97,84,25.7,97,97,0.08,34081,58.44,0.5,0.5,9.4,1,0,81.4
Italy,European Union,2008,3.5,4.1,60.1245,7.96,96,83,25.7,96,96,0.08,33530,58.83,0.5,0.5,9.5,1,0,81.5
Italy,European Union,2009,3.4,4.1,59.186,7.25,96,83,25.7,96,96,0.08,31615,59.1,0.5,0.5,9.6,1,0,81.6
Italy,European Union,2010,3.4,4,56.6155,6.95,96,84,25.7,96,96,0.08,32058,59.28,0.5,0.5,9.7,1,0,82
Japan,Asia,2005,2.8,3.7,68.768,7.98,83,84,22.6,95,98,0.17,33099,127.77,1.7,1.5,11.2,1,0,81.9
Japan,Asia,2003,2.9,4,70.306,7.82,83,86,22.5,97,97,0.17,31830,127.72,1.7,1.4,11,1,0,81.8
Japan,Asia,2004,2.8,3.9,68.9285,7.69,83,87,22.6,97,99,0.17,32515,127.76,1.7,1.4,11.1,1,0,82
Japan,Asia,2000,3.3,4.5,72.954,7.96,83,86,22.5,98,85,0.17,31431,126.84,1.6,1.4,10.7,1,0,81.1
Japan,Asia,2006,2.7,3.6,66.533,7.48,83,86,22.6,95,98,0.17,33532,127.85,1.7,1.5,11.2,1,0,82.3
Japan,Asia,2009,2.4,3.3,63.037,6.98,83,92,22.7,99,97,0.17,31651,128.05,1.8,1.6,11.4,1,0,82.9
Japan,Asia,2007,2.6,3.5,65.136,7.28,83,89,22.6,97,98,0.17,33990,128,1.8,1.5,11.3,1,0,82.5
Japan,Asia,2010,2.4,3.2,62.1335,8.28,83,97,22.7,98,97,0.17,32942,128.07,1.9,1.6,11.5,1,0,82.8
Japan,Asia,2008,2.5,3.4,64.0215,07.06,83,78,22.6,98,98,0.17,33558,128.06,1.8,1.5,11.4,1,0,82.6
Japan,Asia,2001,3.1,4.3,71.4415,08.01,83,86,22.5,81,95,0.17,31476,127.15,1.7,1.4,10.8,1,0,81.4
Japan,Asia,2002,3,4.1,70.123,7.86,83,86,22.5,89,96,0.17,31416,127.45,1.7,1.4,10.9,1,0,81.6
Latvia,European Union,2000,11.5,14.2,225.812,7.13,95,90,25.6,96,96,0.25,6727,2.37,2.8,2.8,9.5,1,0,70.3
Latvia,European Union,2001,10.8,13.3,232.029,6.68,96,95,25.6,97,97,0.21,7245,2.34,2.8,2.8,10,1,0,70.8
Latvia,European Union,2002,10.2,12.6,225.2175,7.44,98,96,25.7,98,97,0.19,7849,2.31,2.7,2.7,10.6,1,0,71
Latvia,European Union,2003,9.7,11.9,217.6585,8.24,98,97,25.8,98,98,0.17,8593,2.29,2.6,2.6,11.2,1,0,71.3
Latvia,European Union,2004,9.2,11.2,213.151,8.81,98,98,25.9,99,99,0.16,9407,2.26,2.5,2.6,11.7,1,0,72
Latvia,European Union,2005,8.6,10.5,221.1375,9.92,99,99,25.9,99,99,0.15,10528,2.24,2.5,2.5,12.1,1,0,71.4
Latvia,European Union,2006,8.1,9.8,231.0145,10.4,94,99,26,96,96,0.17,11896,2.22,2.4,2.5,12.2,1,0,70.9
Latvia,European Union,2007,7.7,9.3,220.941,12.12,91,98,26.1,94,94,0.18,13186,2.2,2.4,2.4,12.3,1,0,71
Latvia,European Union,2008,7.3,8.8,198.7445,11.84,93,94,26.2,94,94,0.19,12893,2.18,2.3,2.4,12.2,1,0,72.4
Latvia,European Union,2009,6.9,8.3,185.722,9.85,92,92,26.2,94,94,0.2,11240,2.14,2.3,2.3,12.3,1,0,73.1
Latvia,European Union,2010,6.5,7.8,180.8715,9.83,91,93,26.3,92,92,0.22,10964,2.1,2.2,2.3,12.5,1,0,73.5
Lithuania,European Union,2000,8.6,10.7,197.9555,9.87,98,97,26,92,94,0.04,6423,3.5,3.4,3.4,10.7,1,0,72
Lithuania,European Union,2001,8.2,10.3,210.133,10.2,95,96,26,97,95,0.12,6899,3.47,3.3,3.3,10.9,1,0,71.7
Lithuania,European Union,2002,7.9,9.9,204.012,11,94,95,26.1,97,95,0.05,7424,3.44,3.3,3.3,11.1,1,0,71.8
Lithuania,European Union,2003,7.6,9.5,205.7495,11.29,95,93,26.1,91,94,0.05,8276,3.42,3.2,3.2,11.3,1,0,72.1
Lithuania,European Union,2004,7.4,9.3,205.9795,12.1,94,93,26.1,90,94,0.06,8919,3.38,3.1,3.1,11.5,1,0,72
Lithuania,European Union,2005,7.3,9,222.069,12.42,95,95,26.2,93,94,0.06,9766,3.32,3,3.1,11.8,1,0,71.3
Lithuania,European Union,2006,6.9,8.6,229.4005,13.34,95,94,26.2,94,94,0.07,10659,3.27,3,3,12,1,0,71.1
Lithuania,European Union,2007,6.5,8,237.8385,13.79,96,96,26.2,95,95,0.07,11985,3.23,2.9,3,12.1,1,0,70.9
Lithuania,European Union,2008,5.9,7.3,222.743,13.79,96,96,26.3,96,96,0.08,12425,3.2,2.9,2.9,12.2,1,0,71.8
Lithuania,European Union,2009,5.4,6.7,193.3095,12.97,95,94,26.3,98,98,0.08,10700,3.16,2.8,2.9,11.5,1,0,72.9
