Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Lithuania,European Union,2010,4.9,6,191.1515,13.22,94,95,26.3,95,95,0.08,11107,3.1,2.8,2.8,11.6,1,0,73.3
Luxembourg,European Union,2000,3.7,4.5,100.072,13.21,77,86,25.6,99,99,0.06,92528,0.44,1,1,10.3,1,0,77.9
Luxembourg,European Union,2001,3.5,4.2,94.658,13.1,86,86,25.6,99,99,0.06,94244,0.44,1,1,10.5,1,0,77.8
Luxembourg,European Union,2002,3.3,4,98.426,12.88,95,86,25.7,99,99,0.07,96270,0.45,1,0.9,10.7,1,0,78
Luxembourg,European Union,2003,3.1,3.8,87.4675,12.52,95,86,25.7,99,98,0.07,97598,0.45,1,0.9,10.9,1,0,77.7
Luxembourg,European Union,2004,2.9,3.5,86.0865,12.34,94,86,25.8,99,99,0.07,100293,0.46,1,0.9,11.1,1,0,79.1
Luxembourg,European Union,2005,2.8,3.4,79.786,12.31,95,86,25.9,99,99,0.08,101222,0.47,1,0.9,11.3,1,0,79.4
Luxembourg,European Union,2006,2.6,3.2,87.8075,12.5,95,86,25.9,99,99,0.08,105614,0.47,0.9,0.9,11.5,1,0,79.3
Luxembourg,European Union,2007,2.5,3.1,78.1125,12.27,87,86,26,96,99,0.09,112418,0.48,0.9,0.9,11.7,1,0,79.4
Luxembourg,European Union,2008,2.4,3,71.6035,11.99,94,86,26,96,99,0.09,110095,0.49,0.9,0.9,11.7,1,0,80.5
Luxembourg,European Union,2009,2.4,2.9,73.2125,11.98,95,86,26.1,96,99,0.09,104574,0.5,0.9,0.9,11.8,1,0,80.6
Luxembourg,European Union,2010,2.3,2.8,74.016,11.84,94,86,26.1,96,99,0.1,106544,0.51,0.9,0.9,11.8,1,0,80.6
Malta,European Union,2000,6.9,7.8,64.045,5.94,86,52,26.9,94,94,0.08,17189,0.39,0.8,0.7,8.1,1,0,78.3
Malta,European Union,2001,6.6,7.5,62.98,5.99,86,47,26.9,95,95,0.08,16860,0.39,0.7,0.7,8.2,1,0,78.8
Malta,European Union,2002,6.5,7.3,61.9155,6.12,86,50,27,95,95,0.08,17165,0.4,0.7,0.7,8.3,1,0,78.7
Malta,European Union,2003,6.3,7.2,61.136,6.54,89,59,27,94,94,0.08,17747,0.4,0.7,0.7,8.5,1,0,78.5
Malta,European Union,2004,6.2,7.1,60.357,6.61,85,31,27,89,89,0.08,17653,0.4,0.7,0.7,8.6,1,0,79.3
Malta,European Union,2005,6.1,7,59.577,6.14,85,60,27.1,94,92,0.08,18134,0.4,0.7,0.7,9.8,1,0,79.3
Malta,European Union,2006,6,6.9,58.798,8.25,86,86,27.1,83,85,0.08,18522,0.41,0.7,0.7,9.8,1,0,79.4
Malta,European Union,2007,6,6.8,58.0185,7.47,82,77,27.1,76,74,0.08,19338,0.41,0.7,0.7,9.9,1,0,79.8
Malta,European Union,2008,5.9,6.8,57.259,6.87,86,83,27.1,72,72,0.08,19948,0.41,0.7,0.7,10,1,0,79.6
Malta,European Union,2009,5.9,6.7,56.4985,7.1,86,85,27.1,73,73,0.08,19574,0.41,0.8,0.7,10.2,1,0,80.2
Malta,European Union,2010,5.8,6.7,55.7385,6.99,75,85,27.1,76,76,0.08,20558,0.41,0.8,0.7,10.3,1,0,81.4
Netherlands,European Union,2000,5.1,6.2,83.609,10.13,88,97,25,97,97,0.06,40457,15.93,1.1,1.1,10.8,1,0,78
Netherlands,European Union,2001,5,6.1,81.98,9.82,88,97,25.1,97,97,0.06,41087,16.05,1.1,1.1,11,1,0,78.2
Netherlands,European Union,2002,4.9,5.9,80.574,9.72,88,96,25.1,97,97,0.06,40914,16.15,1.1,1,11.1,1,0,78.3
Netherlands,European Union,2003,4.8,5.7,79.8805,9.48,88,98,25.2,98,98,0.06,40785,16.23,1.1,1,11.3,1,0,78.5
Netherlands,European Union,2004,4.6,5.5,76.488,9.57,88,98,25.3,98,98,0.06,41450,16.28,1,1,11.5,1,0,79.1
Netherlands,European Union,2005,4.4,5.3,72.132,9.5,88,93,25.3,96,96,0.06,42202,16.32,1,1,11.6,1,0,79.3
Netherlands,European Union,2006,4.3,5.1,70.055,9.58,88,92,25.4,96,96,0.06,43592,16.35,1,1,11.8,1,0,79.7
Netherlands,European Union,2007,4.1,4.9,67.8925,9.45,88,92,25.4,97,97,0.07,45139,16.38,1,1,12,1,0,80.1
Netherlands,European Union,2008,4,4.7,67.9805,9.51,88,93,25.4,97,97,0.06,45939,16.45,1,0.9,12,1,0,80.3
Netherlands,European Union,2009,3.8,4.6,65.6915,9.12,88,93,25.5,97,97,0.06,44028,16.53,1,0.9,11.9,1,0,80.5
Netherlands,European Union,2010,3.7,4.4,64.5455,9.34,88,92,25.5,97,97,0.06,44391,16.62,1,0.9,12,1,0,80.7
New Zealand,Oceania,2000,6.1,7.4,85.7,8.83,90,86,26.7,82,90,0.02,30863,3.86,0.3,0.3,11.6,1,0,78.6
New Zealand,Oceania,2001,5.9,7.2,82.092,8.69,90,86,26.8,82,90,0.02,31745,3.88,0.3,0.3,11.6,1,0,78.7
New Zealand,Oceania,2002,5.8,7,82.496,9.09,89,86,26.9,84,90,0.03,32657,3.95,0.3,0.3,11.6,1,0,78.8
New Zealand,Oceania,2003,5.7,6.9,81.649,8.92,89,86,27,86,90,0.03,33475,4.03,0.3,0.3,11.6,1,0,79.1
New Zealand,Oceania,2004,5.6,6.7,78.037,9.17,88,86,27.1,87,89,0.03,34310,4.09,0.3,0.3,11.6,1,0,79.5
New Zealand,Oceania,2005,5.5,6.6,77.0035,9.32,87,86,27.2,89,89,0.03,35052,4.13,0.3,0.3,11.7,1,0,79.9
New Zealand,Oceania,2006,5.4,6.5,74.797,9.36,87,86,27.3,89,89,0.03,35625,4.18,0.3,0.3,11.7,1,0,80
New Zealand,Oceania,2007,5.3,6.4,75.011,9.2,88,86,27.4,88,88,0.04,36363,4.22,0.3,0.3,11.8,1,0,80.2
New Zealand,Oceania,2008,5.2,6.3,73.0145,9.48,90,86,27.5,89,89,0.04,35655,4.26,0.3,0.3,11.8,1,0,80.4
New Zealand,Oceania,2009,5.2,6.2,71.942,9.24,93,86,27.6,92,92,0.04,35252,4.3,0.3,0.3,11.9,1,0,80.7
New Zealand,Oceania,2010,5.1,6.1,69.92,9.62,90,86,27.6,93,93,0.04,35394,4.35,0.3,0.3,12,1,0,80.7
Norway,Rest of Europe,2000,3.9,4.9,83.859,5.67,88,90,25.6,91,90,0.03,67438,4.49,0.8,0.7,12,1,0,78.6
Norway,Rest of Europe,2001,3.8,4.7,80.4955,5.49,88,90,25.7,91,91,0.03,68489,4.51,0.8,0.7,12.1,1,0,78.8
Norway,Rest of Europe,2002,3.7,4.6,78.9785,5.89,88,90,25.8,93,93,0.03,69106,4.54,0.8,0.7,12.1,1,0,79
Norway,Rest of Europe,2003,3.6,4.4,75.5335,6.04,88,89,25.9,92,92,0.02,69327,4.56,0.8,0.7,12.2,1,0,79.4
Norway,Rest of Europe,2004,3.4,4.2,74.4275,6.22,88,90,26,92,92,0.02,71655,4.59,0.8,0.7,12.7,1,0,79.8
Norway,Rest of Europe,2005,3.3,4.1,72.1705,6.37,88,91,26,91,91,0.03,73037,4.62,0.8,0.7,12.4,1,0,80
Norway,Rest of Europe,2006,3.2,3.9,69.5825,6.47,88,91,26.1,94,94,0.03,74190,4.66,0.8,0.7,12.5,1,0,80.3
Norway,Rest of Europe,2007,3,3.7,67.0805,6.6,88,93,26.2,93,93,0.03,75624,4.71,0.7,0.7,12.6,1,0,80.4
Norway,Rest of Europe,2008,2.9,3.6,66.2655,6.75,88,95,26.3,94,94,0.03,75044,4.77,0.7,0.7,12.7,1,0,80.6
Norway,Rest of Europe,2009,2.8,3.4,66.481,6.68,88,96,26.3,94,94,0.03,72823,4.83,0.7,0.7,12.7,1,0,80.8
Norway,Rest of Europe,2010,2.7,3.3,64.862,6.59,88,97,26.4,93,93,0.04,72427,4.89,0.7,0.7,12.7,1,0,81
Poland,European Union,2000,8.1,9.3,152.9305,8.4,99,96,25.4,98,98,0.08,7357,38.26,2.5,2.8,11.1,1,0,73.7
Poland,European Union,2001,7.6,8.8,147.2585,7.74,95,96,25.5,98,98,0.08,7451,38.25,2.5,2.7,11.1,1,0,74.2
Poland,European Union,2002,7.3,8.4,143.4055,8.02,98,97,25.5,98,99,0.08,7607,38.23,2.5,2.6,11.4,1,0,74.5
Poland,European Union,2003,7,8.1,141.427,9.06,97,97,25.6,98,99,0.08,7878,38.2,2.4,2.6,11.5,1,0,74.6
Poland,European Union,2004,6.8,7.8,142.2675,9.19,98,96,25.7,99,99,0.08,8275,38.18,2.4,2.5,11.6,1,0,74.8
Poland,European Union,2005,6.5,7.6,142.2435,9.07,98,90,25.7,99,99,0.08,8569,38.17,2.3,2.5,11.6,1,0,75
Poland,European Union,2006,6.3,7.3,142.4465,9.74,98,99,25.8,99,99,0.08,9101,38.14,2.3,2.4,11.7,1,0,75.1
Poland,European Union,2007,6.1,7,142.313,10.39,98,98,25.9,99,99,0.08,9749,38.12,2.2,2.4,11.8,1,0,75.2
Poland,European Union,2008,5.8,6.7,139.302,10.8,98,97,26,96,99,0.08,10157,38.13,2.2,2.3,11.9,1,0,75.5
Poland,European Union,2009,5.5,6.3,135.045,10.17,98,95,26.1,96,99,0.08,10437,38.15,2.1,2.3,12.1,1,0,75.7
Poland,European Union,2010,5.1,6,129.3125,10.07,98,94,26.1,96,99,0.08,10859,38.04,2.1,2.2,12.2,1,0,76.2
Portugal,European Union,2000,5.5,7.2,109.6325,12.77,58,48,25.5,96,96,0.22,18795,10.29,0.8,0.6,6.8,1,0,76.3
Portugal,European Union,2001,5.1,6.6,108.319,12.63,70,56,25.6,96,97,0.22,19026,10.36,0.8,0.6,6.9,1,0,76.8
Portugal,European Union,2002,4.7,6.1,106.0975,12.5,82,64,25.6,96,98,0.21,19068,10.42,0.8,0.6,7,1,0,77.1
Portugal,European Union,2003,4.3,5.5,103.6955,12.22,94,72,25.7,96,99,0.2,18819,10.46,0.7,0.6,7.2,1,0,77.2
Portugal,European Union,2004,3.9,5,98.033,12.26,94,79,25.7,95,95,0.19,19110,10.48,0.7,0.6,7.4,1,0,77.7
Portugal,European Union,2005,3.6,4.6,99.147,11.97,94,87,25.8,93,93,0.19,19224,10.5,0.7,0.6,7.5,1,0,78.1
Portugal,European Union,2006,3.4,4.4,94.1855,11.81,97,95,25.8,97,97,0.18,19501,10.52,0.7,0.5,7.6,1,0,78.4
Portugal,European Union,2007,3.3,4.2,91.6555,11.54,97,95,25.8,96,97,0.18,19951,10.54,0.7,0.5,7.7,1,0,78.3
Portugal,European Union,2008,3.2,4,89.2665,11.47,97,95,25.8,97,97,0.17,19986,10.56,0.7,0.5,7.8,1,0,78.5
Portugal,European Union,2009,3.1,3.9,87.823,11.5,96,95,25.8,96,96,0.16,19343,10.57,0.7,0.5,7.9,1,0,78.7
Portugal,European Union,2010,3.1,3.8,86.146,11.26,97,95,25.8,97,98,0.16,19670,10.57,0.7,0.5,8.1,1,0,79
Romania,European Union,2000,18.1,21.6,180.5335,9,98,96,24.8,99,99,0.05,4549,22.44,4,4.3,9.9,1,0,71.2
Romania,European Union,2001,17.3,20.5,176.1925,12.07,98,97,24.9,99,99,0.05,4853,22.13,3.8,4.2,9.7,1,0,71.2
Romania,European Union,2002,17,20.1,171.852,13.15,99,97,25,98,98,0.05,5225,21.73,3.7,4.1,9.6,1,0,71
Romania,European Union,2003,17,20,168.663,11.55,98,97,25.1,97,97,0.05,5386,21.57,3.5,4,9.7,1,0,71.3
Romania,European Union,2004,16.5,19.4,165.474,11.77,99,96,25.3,97,97,0.05,5981,21.45,3.4,3.9,9.9,1,0,71.6
Romania,European Union,2005,15.5,18.1,162.285,9.63,98,96,25.4,97,97,0.04,6299,21.32,3.3,3.8,10.1,1,0,71.9
Romania,European Union,2006,14.2,16.6,159.0955,9.89,99,96,25.5,97,97,0.04,6846,21.19,3.2,3.7,10.3,1,0,72.2
Romania,European Union,2007,13,15.2,155.9065,11.06,99,96,25.6,96,96,0.04,7450,20.88,3.2,3.6,10.5,1,0,72.6
Romania,European Union,2008,11.9,14,151.8615,12.38,97,95,25.8,95,96,0.04,8280,20.54,3.1,3.5,10.6,1,0,72.6
Romania,European Union,2009,11.1,13.1,147.816,11.01,95,94,25.9,95,95,0.04,7889,20.37,3,3.3,10.6,1,0,73.3
Romania,European Union,2010,10.5,12.4,143.7705,10.01,98,93,26,94,94,0.04,7626,20.25,3,3.2,10.7,1,0,73.5
Singapore,Asia,2000,3,3.9,80.151,2.02,97,98,23.4,98,98,0.14,34891,4.03,2.1,2,8.9,0,1,78
Singapore,Asia,2001,2.8,3.6,76.5795,2.08,95,96,23.5,95,96,0.15,33598,4.14,2.1,2,9.2,0,1,78.3
Singapore,Asia,2002,2.6,3.4,73.007,2.16,95,96,23.5,94,94,0.15,34599,4.18,2.1,2,9.5,0,1,78.6
Singapore,Asia,2003,2.5,3.2,71.202,1.43,95,96,23.5,96,96,0.15,36710,4.11,2.1,2,9.8,0,1,79
Singapore,Asia,2004,2.4,3,69.3965,1.44,94,96,23.5,95,95,0.14,39857,4.17,2.1,2,10.2,0,1,79.5
Singapore,Asia,2005,2.3,2.9,67.5915,1.49,96,95,23.5,96,96,0.14,41799,4.27,2.1,2,10.5,0,1,80
Singapore,Asia,2006,2.3,2.9,65.786,1.55,95,96,23.5,95,95,0.14,44160,4.4,2.1,2,10.1,0,1,80.1
Singapore,Asia,2007,2.3,2.9,63.981,1.59,96,96,23.5,97,97,0.13,46180,4.59,2.1,2,10.2,0,1,80.4
Singapore,Asia,2008,2.3,2.8,62.236,1.69,97,96,23.5,97,97,0.12,44602,4.84,2.1,2.1,10.5,0,1,80.8
Singapore,Asia,2009,2.3,2.8,60.491,1.73,96,95,23.5,97,97,0.12,43333,4.99,2.1,2.1,10.5,0,1,81.2
Singapore,Asia,2010,2.3,2.8,58.746,1.84,96,96,23.5,96,96,0.11,48753,5.08,2.1,2.1,11.2,0,1,81.5
Slovak Republic,European Union,2000,8.2,9.8,147.9935,11.33,98,97,25.5,98,99,0.01,8915,5.39,1.6,1.7,10.3,1,0,73.1
Slovak Republic,European Union,2001,7.9,9.4,146.314,11.12,99,97,25.5,99,99,0.01,9222,5.38,1.5,1.6,10.1,1,0,73.4
Slovak Republic,European Union,2002,7.6,9.1,145.3625,11.16,99,97,25.6,98,99,0.01,9641,5.38,1.5,1.6,10.3,1,0,73.6
Slovak Republic,European Union,2003,7.3,8.8,144.053,10.23,99,97,25.6,98,99,0.01,10178,5.37,1.5,1.6,10.4,1,0,73.6
Slovak Republic,European Union,2004,7.1,8.5,138.1965,10.52,99,97,25.7,99,99,0.01,10717,5.37,1.4,1.5,10.6,1,0,74
Slovak Republic,European Union,2005,6.8,8.2,139.5745,11.06,99,97,25.7,99,99,0.01,11426,5.37,1.4,1.5,10.8,1,0,73.9
Slovak Republic,European Union,2006,6.6,7.9,136.22,10.89,99,97,25.8,99,99,0.01,12396,5.37,1.4,1.5,10.9,1,0,74.2
Slovak Republic,European Union,2007,6.4,7.7,137.7115,10.96,99,97,25.8,99,99,0.01,13734,5.37,1.3,1.4,11.1,1,0,74.2
Slovak Republic,European Union,2008,6.1,7.4,134.367,11.87,99,97,25.9,99,99,0.01,14488,5.38,1.3,1.4,11.2,1,0,74.7
Slovak Republic,European Union,2009,5.9,7.2,129.606,11.13,99,97,26,99,99,0.01,13679,5.39,1.3,1.4,11.4,1,0,74.9
Slovak Republic,European Union,2010,5.8,7,121.948,10.16,99,97,26,99,99,0.01,14526,5.39,1.3,1.3,11.6,1,0,75.1
Slovenia,European Union,2000,4.6,5.5,120.8335,12.8,88,98,25.4,93,91,0.02,16241,1.99,2.2,2.3,11.6,1,0,75.4
Slovenia,European Union,2001,4.3,5.2,121.8735,11.58,88,98,25.4,93,92,0.02,16737,1.99,2.2,2.2,11.5,1,0,75.8
Slovenia,European Union,2002,4.1,4.9,115.2275,9.87,88,98,25.5,93,93,0.02,17302,1.99,2.1,2.2,11.5,1,0,76
Slovenia,European Union,2003,3.9,4.7,117.617,11.55,88,98,25.6,95,95,0.03,17803,2,2,2.1,11.5,1,0,76.9
Slovenia,European Union,2004,3.7,4.4,111.937,10.01,88,99,25.6,94,94,0.03,18568,2,2,2,12,1,0,77.2
Slovenia,European Union,2005,3.5,4.2,101.813,11.19,88,99,25.7,95,95,0.03,19239,2,1.9,2,11.7,1,0,77.6
Slovenia,European Union,2006,3.3,4,102.7445,12.26,88,99,25.8,97,97,0.03,20280,02.01,1.8,1.9,11.8,1,0,78.1
Slovenia,European Union,2007,3.1,3.8,99.0175,11.02,88,98,25.9,97,97,0.03,21575,02.02,1.8,1.8,11.8,1,0,78.6
Slovenia,European Union,2008,2.9,3.6,94.189,10.94,88,98,25.9,97,97,0.03,22297,02.02,1.7,1.7,11.9,1,0,78.8
Slovenia,European Union,2009,2.8,3.4,88.8695,10.52,88,98,26,96,96,0.03,20428,02.04,1.7,1.7,12.1,1,0,79
Slovenia,European Union,2010,2.6,3.2,86.192,10.33,88,96,26.1,96,96,0.02,20613,02.05,1.6,1.6,12.1,1,0,79.4
Spain,European Union,2000,4.4,5.4,83.203,11.61,77,92,26.1,95,95,0.11,23938,40.57,0.6,0.5,8.4,1,0,79
Spain,European Union,2001,4.3,5.3,81.959,12.01,83,92,26.1,95,96,0.1,24708,40.85,0.6,0.5,8.5,1,0,79.4
Spain,European Union,2002,4.2,5.1,80.4485,10.41,82,92,26.2,98,98,0.09,25026,41.43,0.6,0.5,8.5,1,0,79.6
Spain,European Union,2003,4.1,5,80.6985,11.04,81,92,26.2,99,98,0.09,25311,42.19,0.6,0.5,8.6,1,0,79.6
Spain,European Union,2004,3.9,4.9,77.449,11.32,97,91,26.2,97,97,0.09,25655,42.92,0.6,0.5,8.6,1,0,79.9
Spain,European Union,2005,3.8,4.7,75.851,11.92,96,92,26.2,96,96,0.09,26146,43.65,0.6,0.5,8.9,1,0,80.2
Spain,European Union,2006,3.7,4.5,73.3,11.86,97,94,26.2,98,98,0.09,26763,44.4,0.6,0.5,9,1,0,80.8
Spain,European Union,2007,3.6,4.4,71.7905,11.05,96,95,26.2,96,96,0.09,27219,45.23,0.6,0.5,9.1,1,0,80.9
Spain,European Union,2008,3.4,4.2,70.114,10.24,97,94,26.2,97,97,0.09,27026,45.95,0.6,0.5,9.2,1,0,81.2
Spain,European Union,2009,3.3,4,67.2055,9.99,96,90,26.2,96,96,0.09,25779,46.36,0.6,0.5,9.3,1,0,81.5
Spain,European Union,2010,3.1,3.8,64.95,8.94,97,92,26.2,97,97,0.09,25703,46.58,0.6,0.5,9.4,1,0,81.6
Sweden,European Union,2000,3.4,4.1,71.72,6.2,60,94,25.1,99,99,0.08,41117,8.87,1.4,1.3,11.4,1,0,79.6
Sweden,European Union,2001,3.4,4.1,71.28,6.5,60,94,25.2,99,99,0.08,41601,8.9,1.3,1.3,11.5,1,0,79.8
Sweden,European Union,2002,3.3,4,68.96,6.88,60,94,25.3,99,99,0.08,42377,8.92,1.3,1.3,11.6,1,0,79.8
Sweden,European Union,2003,3.2,3.9,67.2,6.88,60,95,25.4,99,99,0.08,43195,8.96,1.3,1.3,11.8,1,0,80.1
Sweden,European Union,2004,3.1,3.7,66.1935,6.51,60,95,25.4,99,99,0.08,44891,8.99,1.3,1.3,12.3,1,0,80.5
Sweden,European Union,2005,3,3.6,65.34,6.53,60,95,25.5,98,98,0.08,45990,9.03,1.3,1.3,12.4,1,0,80.5
Sweden,European Union,2006,2.8,3.4,63.6035,6.81,60,95,25.6,98,98,0.08,47865,9.08,1.3,1.3,12.4,1,0,80.7
Sweden,European Union,2007,2.7,3.3,62.5915,6.98,60,95,25.6,98,98,0.08,49145,9.15,1.3,1.3,12.5,1,0,80.9
Sweden,European Union,2008,2.6,3.2,61.6405,07.02,61,94,25.7,98,98,0.08,48544,9.22,1.3,1.3,12.2,1,0,81.1
Sweden,European Union,2009,2.6,3.1,60.608,7.31,59,95,25.7,98,98,0.08,46043,9.3,1.3,1.3,12.2,1,0,81.4
Sweden,European Union,2010,2.5,3.1,57.492,7.38,61,94,25.8,98,98,0.08,48370,9.38,1.3,1.3,12.3,1,0,81.5
Switzerland,Rest of Europe,2000,4.7,5.6,76.677,11.26,88,71,24.8,95,93,0.09,74013,7.18,0.7,0.5,11.4,1,0,79.7
Switzerland,Rest of Europe,2001,4.6,5.5,73.0875,11.12,88,71,24.8,95,93,0.1,74705,7.23,0.7,0.5,11.6,1,0,80.2
Switzerland,Rest of Europe,2002,4.5,5.4,71.8885,10.85,88,71,24.9,95,93,0.1,74138,7.28,0.6,0.5,11.7,1,0,80.4
Switzerland,Rest of Europe,2003,4.5,5.3,70.293,10.82,88,71,24.9,95,93,0.1,73556,7.34,0.6,0.5,11.8,1,0,80.5
Switzerland,Rest of Europe,2004,4.4,5.2,67.614,10.54,88,71,24.9,95,93,0.09,75113,7.39,0.6,0.4,11.9,1,0,81.1
Switzerland,Rest of Europe,2005,4.3,5.1,65.1225,10.15,88,71,25,94,94,0.08,76785,7.44,0.6,0.4,12,1,0,81.2
Switzerland,Rest of Europe,2006,4.2,4.9,63.2435,10.24,88,71,25,94,94,0.08,79368,7.48,0.6,0.4,12.3,1,0,81.5
Switzerland,Rest of Europe,2007,4.1,4.8,62.047,10.44,88,71,25,94,94,0.07,81805,7.55,0.5,0.4,12.6,1,0,81.7
Switzerland,Rest of Europe,2008,4,4.7,59.218,10.29,88,83,25,96,95,0.07,82998,7.65,0.5,0.4,12.9,1,0,82
Switzerland,Rest of Europe,2009,4,4.6,59.034,10.15,88,83,25.1,96,95,0.06,80262,7.74,0.5,0.4,13.3,1,0,82
Switzerland,Rest of Europe,2010,3.9,4.6,56.9105,10.01,88,83,25.1,96,95,0.06,82027,7.82,0.5,0.4,13.3,1,0,82.2
United Kingdom,Rest of Europe,2000,5.6,6.5,88.0225,10.82,88,86,26.3,91,91,0.08,39229,58.89,0.7,0.5,11.7,1,0,77.7
United Kingdom,Rest of Europe,2001,5.5,6.4,86.493,11.31,88,86,26.4,91,91,0.08,39888,59.12,0.7,0.5,11.8,1,0,78
United Kingdom,Rest of Europe,2002,5.4,6.3,85.37,11.33,88,86,26.5,91,91,0.08,40563,59.37,0.7,0.5,11.9,1,0,78.1
United Kingdom,Rest of Europe,2003,5.3,6.2,84.179,11.28,88,86,26.5,91,91,0.08,41598,59.65,0.7,0.5,12,1,0,78.4
United Kingdom,Rest of Europe,2004,5.2,6.1,80.819,11.58,88,86,26.6,92,92,0.08,42337,59.99,0.7,0.5,12.1,1,0,78.7
United Kingdom,Rest of Europe,2005,5.1,6,79.5075,11.38,88,86,26.7,91,91,0.08,43137,60.4,0.7,0.5,12.2,1,0,79
United Kingdom,Rest of Europe,2006,5,5.9,80.04,10.93,88,86,26.8,92,92,0.08,43928,60.85,0.7,0.5,12.4,1,0,79.2
United Kingdom,Rest of Europe,2007,4.9,5.8,78.7825,11.06,88,86,26.8,92,92,0.08,44576,61.32,0.7,0.5,12.6,1,0,79.4
United Kingdom,Rest of Europe,2008,4.8,5.6,78.4095,10.66,88,86,26.9,92,92,0.08,44121,61.81,0.8,0.5,12.8,1,0,79.6
United Kingdom,Rest of Europe,2009,4.6,5.4,76.195,9.98,88,86,26.9,93,93,0.08,41929,62.28,0.8,0.5,13.1,1,0,80.1
United Kingdom,Rest of Europe,2010,4.4,5.2,74.2785,10.01,88,86,27,94,94,0.08,42488,62.77,0.8,0.5,13.2,1,0,80.4
United States,North America,2000,7.1,8.4,113.6425,8.3,90,86,27.5,90,94,0.13,48746,282.16,0.8,0.7,12.7,1,0,76.6
United States,North America,2001,7,8.3,114.2395,8.25,89,86,27.7,89,94,0.13,48727,284.97,0.8,0.6,12.7,1,0,76.8
United States,North America,2002,6.9,8.2,114.049,8.33,88,86,27.8,90,94,0.13,49095,287.63,0.8,0.6,12.7,1,0,76.9
United States,North America,2003,6.9,8.1,113.733,8.4,92,86,27.9,91,96,0.13,50036,290.11,0.7,0.6,12.8,1,0,77
United States,North America,2004,6.8,8.1,111.0145,8.48,92,86,28,92,96,0.13,51485,292.81,0.7,0.6,12.8,1,0,77.5
United States,North America,2005,6.7,8,111.738,8.55,93,86,28.1,92,96,0.13,52790,295.52,0.7,0.6,12.8,1,0,77.5
United States,North America,2006,6.7,7.9,111.0235,8.63,93,86,28.2,93,96,0.13,53738,298.38,0.7,0.6,12.8,1,0,77.7
United States,North America,2007,6.6,7.7,109.026,8.74,93,86,28.3,93,96,0.13,54300,301.23,0.7,0.6,12.9,1,0,78
United States,North America,2008,6.5,7.6,107.758,8.74,94,86,28.4,94,96,0.13,53854,304.09,0.7,0.6,13.2,1,0,78
United States,North America,2009,6.4,7.5,107.0105,8.67,92,86,28.4,93,95,0.13,51996,306.77,0.7,0.6,13.2,1,0,78.4
United States,North America,2010,6.2,7.3,104.5215,8.56,92,86,28.5,93,95,0.13,52963,309.33,0.7,0.6,13.2,1,0,78.5